"Congress" "states_served" "is_slaveholder" "count"
"578" 20 "MI" "false" 1
"579" 20 "MO" "true" 2
"580" 20 "MO" "unknown" 1
"581" 20 "MS" "true" 2
"582" 20 "MS" "unknown" 2
"583" 20 "NC" "true" 15
"584" 20 "NC" "unknown" 1
"585" 20 "NC,AL" "true" 1
"586" 20 "NH" "false" 6
"587" 20 "NH" "unknown" 2
"588" 20 "NH,MA" "false" 1
"589" 20 "NJ" "false" 2
"590" 20 "NJ" "true" 1
"591" 20 "NJ" "unknown" 7
"592" 20 "NY" "false" 25
"593" 20 "NY" "true" 7
"594" 20 "NY" "unknown" 7
"595" 20 "NY,LA" "true" 1
"596" 20 "OH" "false" 15
"597" 20 "OH" "true" 1
"598" 20 "OH" "unknown" 3
"599" 20 "PA" "false" 18
"600" 20 "PA" "true" 2
"601" 20 "PA" "unknown" 8
"602" 20 "RI" "false" 4
"603" 20 "SC" "true" 11
"604" 20 "TN" "true" 10
"605" 20 "TN" "unknown" 1
"606" 20 "VA" "true" 21
"607" 20 "VA" "unknown" 3
"608" 20 "VT" "false" 5
"609" 20 "VT" "unknown" 2
"610" 21 "AL" "true" 4
"611" 21 "AR" "true" 1
"612" 21 "CT" "false" 8
"613" 21 "DE" "true" 4
"614" 21 "FL" "true" 1
"615" 21 "GA" "true" 9
"616" 21 "GA" "unknown" 1
"617" 21 "IL" "false" 3
"618" 21 "IL" "true" 1
"619" 21 "IL" "unknown" 1
"620" 21 "IN" "false" 2
"621" 21 "IN" "unknown" 3
"622" 21 "KY" "true" 14
"623" 21 "LA" "true" 4
"624" 21 "MA" "false" 12
"625" 21 "MA" "unknown" 2
"626" 21 "MA,ME" "false" 1
"627" 21 "MD" "true" 10
"628" 21 "MD" "unknown" 1
"629" 21 "ME" "false" 7
"630" 21 "ME" "true" 1
"631" 21 "ME" "unknown" 1
"632" 21 "MI" "false" 1
"633" 21 "MO" "false" 1
"634" 21 "MO" "true" 1
"635" 21 "MO" "unknown" 1
"636" 21 "MS" "false" 1
"637" 21 "MS" "true" 3
"638" 21 "MS" "unknown" 1
"639" 21 "NC" "true" 14
"640" 21 "NC" "unknown" 2
"641" 21 "NC,AL" "true" 1
"642" 21 "NC,MS" "true" 1
"643" 21 "NH" "false" 5
"644" 21 "NH" "unknown" 3
"645" 21 "NH,MA" "false" 1
"646" 21 "NJ" "false" 1
"647" 21 "NJ" "true" 1
"648" 21 "NJ" "unknown" 6
"649" 21 "NY" "false" 25
"650" 21 "NY" "true" 8
"651" 21 "NY" "unknown" 5
"652" 21 "NY,LA" "true" 1
"653" 21 "OH" "false" 12
"654" 21 "OH" "unknown" 5
"655" 21 "PA" "false" 23
"656" 21 "PA" "true" 1
"657" 21 "PA" "unknown" 6
"658" 21 "RI" "false" 4
"659" 21 "SC" "true" 10
"660" 21 "SC" "unknown" 1
"661" 21 "TN" "true" 10
"662" 21 "TN" "unknown" 2
"663" 21 "VA" "false" 1
"664" 21 "VA" "true" 24
"665" 21 "VA" "unknown" 3
"666" 21 "VT" "false" 6
